household_code,id_member,interview_datetime,cashflow_date,account_name,root_category,cf_category,cf_type,cf_direction,cf_bsheet_direction,agrprodtype,value,cashflow_mode,unitsgoodservice,valueifinkind
MONEM65,3,9/2/2014 10:14:00,8/19/2014,,Physical Asset,Farming tool,1. Purchase,Out,Increase,,60,01=Cash,,
MONEM65,7,1/10/2015 9:05:00,1/2/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,,8/20/2014 10:05:00,8/19/2014,,Operational Expenses,Clothes and shoes,Purchases,Out,,,200,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,1/15/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,5,12/5/2014 13:33:00,11/27/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,5,1/10/2015 9:05:00,12/30/2014,,Operational Expenses,Clothes and shoes,Purchases,Out,,,195,01=Cash,,
MONEM65,3,9/2/2014 10:14:00,9/1/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,3,1/10/2015 9:05:00,1/10/2015,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,100,\N,,
MONEM65,5,12/5/2014 13:33:00,11/30/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,3,6/15/2015 12:01:00,6/15/2015,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,20,\N,,
MONEM65,3,10/10/2014 8:21:00,10/2/2014,,Operational Expenses,"Gas (for cooking), paraffin, charcoal, etc.",Purchases,Out,,,10,01=Cash,,
MONEM65,3,7/18/2014 8:30:00,7/18/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,1000,\N,,
MONEM65,3,9/2/2014 10:14:00,8/20/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,200,01=Cash,,
MONEM65,3,4/27/2015 7:30:00,4/22/2015,,Operational Expenses,Clothes and shoes,Purchases,Out,,,50,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,1/29/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,1/27/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,5,12/5/2014 13:33:00,12/2/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,35,01=Cash,,
MONEM65,3,12/5/2014 13:33:00,12/3/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,505,\N,,
MONEM65,3,4/27/2015 7:30:00,4/26/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,,9/29/2014 10:00:00,9/21/2014,,Physical Asset,Utensils,1. Purchase,Out,Increase,,100,01=Cash,,
MONEM65,3,8/20/2014 10:05:00,8/20/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,500,\N,,
MONEM65,3,4/27/2015 7:30:00,4/24/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,5,6/30/2015 14:55:00,6/12/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,5,3/22/2015 13:01:00,3/20/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,3,8/1/2014 10:00:00,7/31/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,3,8/1/2014 10:00:00,7/28/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,3,12/5/2014 13:33:00,11/25/2014,,Operational Expenses,"Gas (for cooking), paraffin, charcoal, etc.",Purchases,Out,,,25,01=Cash,,
MONEM65,3,10/10/2014 8:21:00,9/30/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,3,3/2/2015 11:50:00,2/20/2015,,Operational Expenses,Clothes and shoes,Purchases,Out,,,50,01=Cash,,
MONEM65,3,6/15/2015 12:01:00,6/9/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,3,10/10/2014 8:21:00,10/6/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,10,01=Cash,,
MONEM65,3,3/2/2015 11:50:00,3/2/2015,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,200,\N,,
MONEM65,3,9/29/2014 10:00:00,9/20/2014,,Operational Expenses,Medicines,Purchases,Out,,,50,01=Cash,,
MONEM65,3,10/10/2014 8:21:00,10/4/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,5,12/5/2014 13:33:00,11/24/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,45,01=Cash,,
MONEM65,3,8/20/2014 10:05:00,8/20/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,600,\N,,
MONEM65,7,1/10/2015 9:05:00,12/25/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,100,01=Cash,,
MONEM65,3,10/29/2014 9:55:00,10/25/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,30,01=Cash,,
MONEM65,7,1/10/2015 9:05:00,1/7/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,10,01=Cash,,
MONEM65,3,1/10/2015 9:05:00,1/1/2015,,Operational Expenses,"Rickshaws, buses, other public transport",Payments,Out,,,100,01=Cash,,
MONEM65,3,1/10/2015 9:05:00,1/1/2015,,Operational Expenses,"Medical services (clinics, hospitals, dispensaries)",Payments,Out,,,10,01=Cash,,
MONEM65,5,3/22/2015 13:01:00,3/12/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,100,01=Cash,,
MONEM65,3,7/18/2014 8:30:00,7/11/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,500,01=Cash,,
MONEM65,3,12/5/2014 13:33:00,11/23/2014,,Operational Expenses,"Water (for drinking, washing, bathing)",Purchases,Out,,,20,01=Cash,,
MONEM65,3,6/15/2015 12:01:00,6/9/2015,,Operational Expenses,Clothes and shoes,Purchases,Out,,,60,01=Cash,,
MONEM65,3,8/1/2014 10:00:00,7/31/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,7,1/10/2015 9:05:00,1/4/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,2/3/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,3,9/2/2014 10:14:00,8/19/2014,,Physical Asset,Utensils,1. Purchase,Out,Increase,,200,01=Cash,,
MONEM65,3,4/27/2015 7:30:00,4/22/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,3,4/15/2015 10:01:00,4/7/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,7,1/10/2015 9:05:00,12/31/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,5,10/10/2014 8:21:00,10/10/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,30,\N,,
MONEM65,3,10/10/2014 8:21:00,10/2/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,15,01=Cash,,
MONEM65,3,9/2/2014 10:14:00,8/27/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,70,01=Cash,,
MONEM65,3,10/29/2014 9:55:00,10/29/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,300,\N,,
MONEM65,3,2/4/2015 9:05:00,1/23/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,100,01=Cash,,
MONEM65,3,9/2/2014 10:14:00,8/28/2014,,Operational Expenses,Medicines,Purchases,Out,,,50,01=Cash,,
MONEM65,3,4/15/2015 10:01:00,4/6/2015,,Operational Expenses,Clothes and shoes,Purchases,Out,,,250,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,2/1/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,1/19/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM65,5,10/10/2014 8:21:00,10/7/2014,,Physical Asset,Utensils,1. Purchase,Out,Increase,,50,01=Cash,,
MONEM65,3,8/20/2014 10:05:00,8/18/2014,,Physical Asset,Farming tool,1. Purchase,Out,Increase,,200,01=Cash,,
MONEM65,3,9/15/2014 11:11:00,9/10/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,100,01=Cash,,
